順位,ユーザID,ユーザ名,投稿数,暫定評価,最終評価,最終更新日時
1,55058 ,macky,32,1,1,2021/10/6 7:17
2,71323 ,tomator,25,0.990291262,1,2021/10/5 12:02
3,41538 ,Oregin,24,0.990291262,0.990825688,2021/10/3 8:51
4,65875 ,ゆ(Team Shiny),28,0.96,0.990825688,2021/10/5 15:00
5,39401 ,takahiro_s,34,0.980769231,0.990825688,2021/10/5 0:44
6,36849 ,ymnk(TeamShiny),7,0.971428571,0.990654206,2021/10/6 14:25
7,72756 ,custard,17,0.960784314,0.990654206,2021/10/7 2:18
8,62148 ,tchih11,24,0.961538462,0.972972973,2021/10/1 9:51
9,57200 ,baseline,1,0.980769231,0.972972973,2021/10/7 6:09
10,11477 ,abeT,72,0.99047619,0.972477064,2021/10/7 2:34
11,73306 ,hamukatsu,32,0.95049505,0.972477064,2021/10/6 4:38
12,69995 ,ysokZTPL (TeamShiny),13,0.971428571,0.971962617,2021/9/30 16:35
13,49538 ,Takahiro_MA,13,0.95049505,0.971962617,2021/10/5 13:27
14,29204 ,YM-DSKR,26,0.952380952,0.971962617,2021/10/7 1:30
15,60542 ,K.M,34,0.981132075,0.963636364,2021/10/6 20:42
16,51865 ,ryosao,26,0.981132075,0.962962963,2021/10/7 5:46
17,50220 ,kbyn,18,0.970873786,0.961538462,2021/10/4 11:54
18,39964 ,S.K,21,0.95049505,0.961538462,2021/10/7 7:48
19,70894 ,siberian,3,0.971962617,0.954954955,2021/10/3 16:26
20,67769 ,Akki,15,0.990291262,0.954954955,2021/10/6 23:14
21,55144 ,kensu,16,0.923076923,0.95412844,2021/9/28 0:37
22,73424 ,Rocky.y,41,0.981132075,0.95412844,2021/10/7 7:39
23,69556 ,saru_da_mon,67,0.961538462,0.952380952,2021/10/6 7:47
24,71970 ,matumu20,30,0.95049505,0.951456311,2021/10/7 7:47
25,45577 ,YATTA3,82,0.961538462,0.944444444,2021/10/7 2:27
26,72569 ,ryo-ta,29,0.97029703,0.943396226,2021/10/6 22:58
27,71367 ,kazuma kubota,15,0.961538462,0.943396226,2021/10/6 21:36
28,71929 ,mattchi,2,0.949494949,0.942307692,2021/10/4 15:03
29,65644 ,テラオカ電子,22,0.924528302,0.938053097,2021/10/4 4:12
30,61112 ,nnnn,29,0.952380952,0.936936937,2021/10/3 16:19
31,47405 ,shun601,4,0.951456311,0.935779817,2021/9/18 23:48
32,37667 ,m.yoshida,11,0.970873786,0.935779817,2021/9/27 12:10
33,51939 ,aota,7,0.952380952,0.935779817,2021/9/29 23:09
34,65798 ,Daisuke Kawai,32,0.971428571,0.935779817,2021/10/4 23:49
35,32885 ,sawittoo,6,0.914285714,0.935779817,2021/10/6 20:55
36,73449 ,3valleys,8,0.941176471,0.935779817,2021/10/7 7:12
37,71502 ,yoshizo-198,13,0.942307692,0.934579439,2021/10/7 0:00
38,72968 ,Kirin,7,0.923076923,0.934579439,2021/9/30 0:09
39,72108 ,nyan_suke,48,0.942307692,0.934579439,2021/10/7 1:09
40,62393 ,Mocchan,10,0.871287129,0.934579439,2021/10/7 1:05
