iter	Passed	Remaining
0	58	58573
1	63	31809
2	69	23110
3	74	18474
4	80	15961
5	83	13812
6	87	12389
7	94	11660
8	97	10769
9	103	10257
10	106	9609
11	112	9223
12	117	8931
13	122	8613
14	127	8370
15	129	7988
16	132	7647
17	137	7501
18	141	7305
19	144	7091
20	149	6953
21	152	6787
22	160	6820
23	166	6758
24	170	6631
25	174	6521
26	180	6501
27	182	6336
28	185	6226
29	189	6118
30	192	6020
31	197	5983
32	200	5871
33	205	5844
34	207	5729
35	211	5674
36	215	5600
37	217	5502
38	223	5498
39	226	5434
40	229	5369
41	233	5317
42	235	5250
43	239	5209
44	243	5165
45	247	5124
46	249	5051
47	253	5025
48	257	5006
49	262	4984
50	264	4930
51	267	4868
52	269	4853	53	273	4754	54	277	4755	55	280	4756	56	284	4657	57	288	4682
58	293	4680
59	295	4634
60	298	4561	61	301	4562	62	304	4563	63	308	4564	64	310	4465	65	312	4466	66	317	4467	67	321	4468	68	325	4369	69	332	4412
70	335	4393
71	339	4372	72	341	4373	73	346	4341
74	349	4375	75	353	4376	76	357	4277	77	362	4278	78	367	4287
79	371	4280	80	374	4281	81	377	4282	387	4283
83	390	4255
84	395	4262
85	398	4237
86	403	4232
87	405	4207
88	407	4174
89	411	4164
90	90	411	4191	91	419	4135
92	421	4111
93	424	4091
94	428	4078
95	430	4057
96	433	4032
97	439	4041
98	443	4032
99	447	4026
100	450	4013
101	454	4002
102	458	3995
103	462	3984
104	466	3972
105	472	3986
106	475	3970
107	479	3958
108	482	3944
109	485	3930
110	491	3932
111	493	3912
112	498	3914
113	502	3902
114	505	3893
115	508	3877
116	511	3859
117	514	3843
118	518	3840
119	520	3819
120	524	3813
121	530	3817
122	533	3801
123	536	3792
124	541	3789
125	545	3786
126	549	3776
127	552	3765
128	556	3756
129	560	3750
130	564	3743
131	567	3733
132	570	3721
133	573	3705
134	577	3700
135	581	3693
136	584	36137137	586	36138138	590	36139139	594	36140140	597	36141141	601	36142142	606	36143143	611	3636
144	616	3637
145	620	3632
146	624	3622
147	627	3614
148	630	3603
149	635	3598
150	637	3584
151	642	3582
152	645	3576
153	649	3567
154	653	3561
155	657	3556
156	660	3547
157	666	3551
158	671	3549
159	674	3540
160	677	3532
161	681	3525
162	684	3515
163	689	3514
164	695	3519
165	701	3526
166	703	3510
167	707	3503
168	712	3503
169	716	3496
170	718	3482
171	723	3484
172	728	3481
173	734	3484
174	737	3478
175	740	3469
176	747	3476
177	751	3470
178	753	3455
179	757	3452
180	763	3452
181	767	3448
182	772	3448
183	775	3437
184	780	3438
185	785	3435
186	787	3424
187	790	3415
188	798	3427
189	802	3419
190	806	3414
191	812	3418
192	815	3409
193	822	3415
194	826	3410
195	831	3408
196	838	3415
197	845	3424
198	847	3410
199	855	3421
200	860	3419
201	866	3421
202	872	3426
203	875	3415
204	883	3424
205	887	3421
206	889	3409
207	893	3401
208	898	3402
209	903	3398
210	909	3399
211	915	3404
212	921	3405
213	924	3396
214	931	3401
215	937	3401
216	938	3387
217	945	3393
218	949	3384
219	955	3387
220	958	3379
221	965	3383
222	971	3383
223	974	3376
224	977	3367
225	982	3364
226	988	3367
227	992	3361
228	998	3360
229	1000	3349
230	1003	3341
231	1011	3346
232	1013	3335
233	1016	3326
234	1022	3328
235	1030	3334
236	1036	3336
237	1041	3335
238	1045	3328
239	1049	3323
240	1053	3318
241	1057	3312
242	1062	3309
243	1066	3305
244	1069	3297
245	1073	3290
246	1075	3279
247	1078	3271
248	1084	3271
249	1089	3269
250	1093	3264
251	1096	3253
252	1102	3254
253	1106	3249
254	1108	3239
255	1114	3238
256	1116	3227
257	1118	3217
258	1121	3208
259	1126	3207
260	1132	3206
261	1139	3208
262	1142	3200
263	1147	3199
264	1153	3198
265	1159	3199
266	1162	3192
267	1164	3181
268	1169	3178
269	1175	3178
270	1180	3174
271	1183	3168
272	1186	3160
273	1190	3154
274	1194	3148
275	1198	3143
276	1204	3145
277	1208	3138
278	1215	3140
279	1218	3132
280	1223	3131
281	1228	3127
282	1234	3126
283	1240	3126
284	1245	3124
285	1249	3118
286	1251	3109
287	1253	3099
288	1259	3097
289	1263	3093
290	1268	3091
291	1272	3085
292	1275	3077
293	1279	3072
294	1283	3067
295	1288	3064
296	1290	3055
297	1293	3046
298	1297	3042
299	1299	3032
300	1305	3032
301	1313	3036
302	1318	3032
303	1325	3034
304	1333	3037
305	1340	3039
306	1345	3036
307	1354	3043
308	1357	3035
309	1366	3042
310	1379	3056
311	1386	3056
312	1389	3050
313	1397	3053
314	1404	3053
315	1407	3046
316	1414	3047
317	1422	3051
318	1434	3062
319	1449	3079
320	1452	3072
321	1461	3077
322	1472	3086
323	1479	3086
324	1490	3095
325	1492	3085
326	1494	3076
327	1508	3091
328	1522	3104
329	1529	3104
330	1531	3094
331	1538	3095
332	1544	3092
333	1551	3093
334	1553	3083
335	1557	3077
336	1559	3068
337	1564	3064
338	1568	3058
339	1573	3054
340	1580	3054
341	1588	3055
342	1591	3048
343	1599	3050
344	1604	3045
345	1607	3037
346	1610	3031
347	1616	3028
348	1622	3025
349	1627	3022
350	1632	3018
351	1638	3015
352	1643	3011
353	1646	3005
354	1652	3003
355	1658	3000
356	1662	2994
357	1665	2985
358	1670	2982
359	1673	2975
360	1679	2972
361	1681	2964
362	1688	2962
363	1694	2959
364	1698	2954
365	1701	2947
366	1705	2942
367	1711	2938
368	1716	2936
369	1722	2933
370	1728	2930
371	1736	2931
372	1740	2926
373	1745	2922
374	1751	2918
375	1757	2917
376	1762	2913
377	1767	2908
378	1771	2901
379	1776	2899
380	1779	2891
381	1784	2886
382	1786	2877
383	1792	2876
384	1797	2870
385	1802	2867
386	1808	2864
387	1811	2858
388	1818	2856
389	1823	2851
390	1827	2846
391	1833	2843
392	1837	2838
393	1842	2834
394	1848	2832
395	1854	2828
396	1859	2823
397	1864	2820
398	1868	2813
399	1874	2811
400	1878	2805
401	1881	2798
402	1886	2794
403	1891	2790
404	1897	2787
405	1903	2784
406	1909	2781
407	1914	2777
408	1917	2770
409	1920	2763
410	1923	2756
411	1925	2748
412	1928	2741
413	1933	2737
414	1937	2731
415	1940	2724
416	1943	2717
417	1947	2711
418	1952	2707
419	1957	2703
420	1962	2698
421	1966	2693
422	1971	2689
423	1975	2683
424	1979	2678
425	1983	2672
426	1988	2668
427	1994	2665
428	1995	2656
429	1999	2649
430	2003	2645
431	2008	2640
432	2013	2636
433	2018	2632
434	2021	2625
435	2024	2618
436	2028	2613
437	2033	2609
438	2037	2603
439	2040	2596
440	2046	2594
441	2048	2586
442	2052	2580
443	2055	2573
444	2059	2568
445	2062	2562
446	2067	2557
447	2071	2552
448	2074	2545
449	2080	2542
450	2084	2537
451	2086	2529
452	2090	2524
453	2095	2519
454	2097	2512
455	2101	2507
456	2104	2500
457	2108	2495
458	2111	2488
459	2114	2482
460	2117	2475
461	2119	2468
462	2124	2464
463	2128	2459
464	2132	2453
465	2136	2447
466	2140	2442
467	2142	2435
468	2147	2431
469	2151	2425
470	2154	2419
471	2157	2413
472	2161	2408
473	2164	2401
474	2166	2394
475	2171	2390
476	2175	2384
477	2177	2377
478	2181	2372
479	2187	2369
480	2190	2363
481	2194	2358
482	2199	2354
483	2204	2350
484	2209	2346
485	2214	2342
486	2218	2337
487	2223	2333
488	2226	2326
489	2229	2320
490	2232	2314
491	2237	2309
492	2239	2303
493	2245	2299
494	2252	2297
495	2258	2294
496	2263	2291
497	2269	2287
498	2272	2282
499	2279	2279
500	2283	2274
501	2286	2268
502	2289	2262
503	2295	2258
504	2299	2253
505	2303	2249
506	2307	2243
507	2309	2237
508	2314	2233
509	2318	2227
510	2322	2222
511	2324	2215
512	2328	2210
513	2331	2204
514	2335	2199
515	2339	2194
516	2342	2188
517	2347	2184
518	2352	2180
519	2359	2177
520	2362	2171
521	2365	2165
522	2370	2161
523	2374	2157
524	2376	2150
525	2378	2143
526	2381	2137
527	2386	2133
528	2390	2128
529	2395	2124
530	2401	2120
531	2403	2114
532	2407	2109
533	2413	2106
534	2418	2102
535	2423	2097
536	2425	2091
537	2429	2086
538	2431	2079
539	2436	2075
540	2439	2069
541	2442	2064
542	2445	2057
543	2450	2053
544	2453	2048
545	2456	2042
546	2460	2037
547	2461	2030
548	2465	2025
549	2470	2020
550	2473	2015
551	2478	2011
552	2483	2007
553	2488	2003
554	2494	2000
555	2499	1995
